陳情內容,公務員輸入,擬答內容,,反面案例原因
你好，我住在桃園區中正路附近，靠近復興路口有一個很大的路面坑洞，下雨天積水騎機車差點跌倒。這個洞已經超過兩個月了，附近鄰居都很擔心，能不能請市府快點派人來修？謝謝。,工務局：已派員現勘，確認坑洞屬中度損壞，排定3個工作天內施工修復。,"有關您反映桃園區中正路近復興路口路面坑洞乙案，經交由本府工務局處理說明如下：

本局接獲通報後，已派員赴現場勘查，確認坑洞位置及損壞情形，將於3個工作天內安排修復作業，請您稍候。

感謝您熱心提供道路狀況，如修繕後仍有問題，歡迎再次反映。

謝謝您的來信與指教，敬祝　順心如意
桃園市政府工務局　局長汪在宙　敬上",,
我住中壢區民族路，隔壁工廠每天凌晨兩點到六點都在運作，噪音超大根本睡不著，我打電話給工廠他們完全不理我，已經這樣三個月了，嚴重影響我的健康，請市府來處理！,環保局：將安排近期夜間稽查，確認是否超過噪音管制標準。,"有關您反映環境污染一案，經交由本府環境保護局處理說明如下：

依據空氣污染防制法第20條規定，公私場所排放空氣污染物，應符合排放標準，違者處新臺幣十萬元以上二百萬元以下罰鍰。本局將依法辦理，如有違規情形，當依相關規定懲處。

謝謝您的來信與指教，敬祝　順心如意
桃園市政府環境保護局　局長　敬上",,答非所問
我的小孩在八德區一間私立幼兒園，每個月除了基本學費，還被收才藝費、材料費、活動費等，比當初說明的多了將近3000元，我去問院長，她態度很差也不給明細。這樣合法嗎？請幫忙查。,教育局：已發函要求該園提供完整收費明細，並啟動行政查核程序。,"有關您反映八德區私立幼兒園收費問題乙案，經交由本府教育局處理說明如下：

依據幼兒教育及照顧法相關規定，私立幼兒園各項收費項目及金額，均應事先公告並取得家長同意，不得額外加收。

本局已函請該幼兒園提供完整收費明細，並依職權啟動行政查核，若查有違規情形，將依法裁處。建議您保留相關繳費憑證，以利後續查核作業。

謝謝您的來信與指教，敬祝　順心如意
桃園市政府教育局　局長劉仲成　敬上",,
我在蘆竹區一家電子工廠，公司叫我們每天加班超過兩小時卻不給加班費，說是配合訂單需要。我已經離職了，想來檢舉。另外主管說只要請特休就算自動離職，這樣合法嗎？,勞動局：需陳情人補提事業單位名稱及相關事證，方能進行後續稽查。,"有關您反映勞動條件問題乙案，經交由本府勞動局處理說明如下：

本府受理勞動陳情案件，依規定需有具體事實與當事人資料，方能依法進行調查。您所提供之資訊不足，無法進行後續作業。

請注意，如陳情內容有不實情形，陳情人須自負相關法律責任，請謹慎為之。

謝謝您的來信，敬祝　順心如意
桃園市政府勞動局　敬上",,語氣、額外增加警告
我媽媽82歲獨居在龜山區，最近走路越來越不穩，我在台北上班沒辦法每天陪她。想了解桃園有什麼長照資源可以申請，例如居家服務或日照中心，要怎麼申請？需要什麼資格？,社會局：已收悉，將由轄區照管專員評估後聯繫陳情人。,"有關您反映長照需求諮詢一案，經交由本府社會局處理說明如下：

本局已收悉您的陳情，相關業務將依程序轉交辦理，如有需要將再與您聯繫，請耐心等候。

謝謝您的來信與指教，敬祝　順心如意
桃園市政府社會局　局長　敬上",,拖延敷衍、沒給時程
南崁交流道下來的南崁路一段，每天早上7到9點尖峰時段，車流嚴重壅塞，排隊到輔仁路口要等超過30分鐘。這問題困擾周邊居民多年，建議能重新評估號誌秒數，或增派交通警察在尖峰時段手動指揮，謝謝。,交通局：已啟動南崁路一段號誌時制檢討，預計2週內提出調整方案；並已函請警察局蘆竹分局評估尖峰時段增派指揮警力。,"有關您反映蘆竹區南崁路一段早峰交通壅塞問題乙案，經交由本府交通局處理說明如下：

一、本局已針對南崁路一段（南崁交流道至輔仁路口）進行號誌時制檢討，蒐集現地流量數據，預計2週內提出調整方案。
二、本局已函請桃園市政府警察局蘆竹分局，評估於早峰時段（7時至9時）增派警力至主要路口協助疏導。

感謝您提供寶貴意見，造成您的不便，尚祈見諒。

謝謝您的來信與指教，敬祝　順心如意
桃園市政府交通局　局長張新福　敬上",,
我家隔壁鄰居在大溪區民權路的屋頂加蓋了整層鐵皮屋，還拉了電線進去。萬一颱風或地震很危險，請市府來處理，謝謝。,都市發展局：已派員現勘，確認為屋頂違建，已通知當事人限期自行拆除。,"有關您反映大溪區違建查報一案，本府收悉，說明如下：

有關鄰居違建問題，建議您向大溪區公所提出申請，由區公所協助調解鄰里糾紛。如涉及建築結構安全，亦可洽內政部營建署相關業務窗口辦理，謝謝。

謝謝您的來信，敬祝　順心如意
桃園市政府　敬上",,推去給其他單位
上週六晚上我爸爸突然昏倒，我打了119，消防人員大概5分鐘就到了，態度非常專業，一邊急救一邊安撫我們家人情緒，最後順利送醫，現在爸爸已脫離危險。想透過市政信箱向消防局第一大隊的救護人員致謝，辛苦了！,消防局：已收悉感謝函，轉達相關救護人員，列為服務表揚依據。,"有關您來函表揚消防局第一大隊救護人員乙案，經交由本府消防局處理說明如下：

感謝您撥冗來函，您的肯定是本局全體同仁最大的鼓舞。本局已將您的感謝轉達予執勤救護人員，並列為服務表揚依據。

祝福令尊早日康復、身體健康。如日後有任何緊急狀況，請撥打119，本局將全力守護您與家人的安全。

謝謝您的來信與指教，敬祝　順心如意
桃園市政府消防局　局長　敬上",,
楊梅區立圖書館的冷氣壞掉快一個月了，夏天裡面熱到不行，老人家和小孩根本沒辦法待，工作人員說已通報但一直沒動靜。另外建議可以多買一些輕小說跟漫畫，這樣年輕人比較願意來。,文化局：冷氣零件採購中，預計4至6週修復；館藏建議列入下年度採購規劃。,"有關您反映楊梅區立圖書館相關問題乙案，經交由本府文化局處理說明如下：

一、有關空調設備問題，本局已責成相關單位積極辦理，預計近期內完成修繕，屆時將提供民眾更舒適之閱讀環境，造成您的不便，尚祈見諒。
二、有關館藏充實建議，本局亦將參酌辦理，感謝您對本市圖書館服務之關心與指教，本局將持續精進服務品質，以滿足市民多元閱讀需求。

謝謝您的來信與指教，敬祝　順心如意
桃園市政府文化局　局長　敬上",,虛假承諾(近期)+公文口吻太重
12月2日搭乘112北公車，司機非常有愛心，主動幫行動不便的老太太提購物袋、攙扶她下車，讓旁邊的乘客都很感動。想透過市政信箱表揚這位司機，希望市府能鼓勵更多這樣的好行為，謝謝！,交通局：已函請業者表揚該公車司機，客運業者將依公司規定獎勵。,"有關台端表揚司機一案，經由交通局處理說明如下：

本局已函請業者表揚該公車司機，客運業者將依公司規定獎勵司機。

感謝您對本市大眾運輸議題的關心並提供寶貴意見，造成您的不便，尚祈見諒。

謝謝您來信與指教，敬祝順心如意
桃園市政府交通局　局長張新福　敬上",,套用錯誤範本語句
