陳情內容,公務員輸入,擬答內容,,反面案例原因
我家對面是桃園區中山路的一間餐廳，每天傍晚開始抽油煙機轉個不停，油煙飄進我家，窗戶根本不敢開。已經持續半年了，請衛生局或環保局來查。,環境保護局：已安排稽查人員本週前往現場確認油煙排放情形，若查有污染情事將依空氣污染防制法裁處並要求改善。,"有關您反映桃園區中山路餐廳油煙污染乙案，經交由本府環境保護局處理說明如下：

餐飲業油煙排放應符合空氣污染防制法相關規定，不得影響附近居民生活品質。本局已安排稽查人員於本週前往現場勘查，確認油煙排放及防制設備設置情形，若查有排放不符規定之情事，將依法裁處並要求限期改善。

感謝您的通報，如後續仍有困擾，歡迎再次與本局聯繫。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　局長　顏己喨　敬上",,
我想替我爸申請重度身心障礙者的生活補助，他去年中風後右側肢體癱瘓，已有身心障礙手冊，但不清楚還有哪些補助可以申請，可以幫我說明嗎？,社會局：持有重度身心障礙手冊者可申請身心障礙者生活補助費，另可依低收入資格申請其他加成補助，請至區公所社會課提出申請。,"有關您詢問重度身心障礙者補助申請乙案，經交由本府社會局說明如下：

持有重度身心障礙手冊者，可申請之主要補助項目如下：
一、身心障礙者生活補助費：每月發給，金額依障礙等級及家庭收入而定，請至戶籍所在地區公所社會課提出申請。
二、身心障礙者輔具補助：依實際需求申請輔具費用補助，如輪椅、助行器等。
三、居家照顧服務：可透過1966長照專線申請評估，由照服員提供居家協助。

如家庭符合中低收入戶資格，尚可申請額外加成補助，建議一併向區公所社會課詢問。

謝謝您的指教　敬祝　安康
桃園市政府社會局　局長　陳寶民　敬上",,
中壢區龍岡路上有一棵路樹的根部已經把人行道板塊撐起來，形成一個大凸起，我老婆上週走路被絆倒，腳踝扭傷了，請市府趕快來處理。,工務局：已派員現勘確認，路樹根系隆起致使人行道板塊位移，本週內安排修繕人行道，同步請農業局評估路樹處理方式。,"有關您反映中壢區龍岡路人行道因路樹根系隆起致生危險乙案，經交由本府工務局處理說明如下：

本局已派員赴現場確認，該路段路樹根部確已造成人行道板塊隆起位移，已列入本週緊急修繕排程，將同步會請農業局評估路樹根系處理方式，以兼顧行人安全及樹木保護。現場已先行設置警示標示，提醒往來民眾注意。

對於您的家人受傷深感抱歉，如有後續需要協助，歡迎再次與本局聯繫。

謝謝您的指教　敬祝　安康
桃園市政府工務局　局長　汪在宙　敬上",,
我在桃園區開了一間小工廠，最近接到環保局的稽查通知，說要來查廢水排放，但我們廠沒有任何廢水，只有少量員工生活廢水。我不知道要準備什麼，可以事先說明嗎？,環境保護局：一般事業廢水與生活污水排放均需符合相關規定，稽查時請備妥事業登記文件及排水設備相關資料，稽查員到場後會說明查核項目。,"有關您詢問環保稽查準備事項乙案，經交由本府環境保護局說明如下：

感謝您主動詢問，本局說明如下：
一、請備妥工廠登記證或商業登記相關文件，供稽查員核對事業基本資料。
二、請備妥廠區排水配置圖或說明文件，包含員工生活廢水之排放去向（如接至市政污水下水道或化糞池）。
三、如廠區確無工業廢水產生，稽查員到場後將現場確認，程序通常不會耗時過長。

如稽查前有任何疑問，歡迎來電本局洽詢，我們樂於協助。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　局長　顏己喨　敬上",,
龜山區樂善路上的一處廢棄房屋，窗戶破碎、外牆剝落，我擔心颱風時牆壁會倒下來壓到路人，已經跟里長說過了但沒下文，請市府來評估危險程度。,都市發展局：已派員現勘，確認外牆有部分剝落，屬危險建築，已依法通知建築所有人限期修繕，並於現場設置安全警戒區。,"有關您反映龜山區樂善路廢棄建築物外牆剝落危及公共安全乙案，經交由本府都市發展局處理說明如下：

本局已派員前往現場勘查，確認該建築外牆確有剝落情形，研判存在公共安全疑慮，已依建築法相關規定正式通知建築所有人限期進行修繕，並於現場設置安全警戒範圍，提醒行人避開危險區域；若所有人屆期未完成改善，本局將依法強制執行。

感謝您的通報，讓本府得以及時處理潛在公共安全問題。

謝謝您的指教　敬祝　安康
桃園市政府都市發展局　局長　江南志　敬上",,
我在桃園市就業博覽會找到工作，至今都很好。想藉此感謝勞動局辦理這麼棒的活動，希望以後能繼續辦，讓更多求職者受益！,勞動局：已收悉感謝，將轉達主辦同仁，並持續規劃辦理後續就業媒合活動。,"有關您來函表達對本府就業博覽會活動之肯定乙案，經交由本府勞動局說明如下：

感謝您撥冗來函，您的肯定是本局全體同仁最大的鼓勵。能夠協助您順利找到理想工作，正是本局辦理就業博覽會最重要的目標。本局將持續規劃辦理就業媒合相關活動，提供求職者多元管道，期望協助更多市民順利就業。

恭喜您工作順心，如日後有任何就業相關需求，歡迎隨時洽詢本局。

謝謝您的指教　敬祝　安康
桃園市政府勞動局　局長　李賢祥　敬上",,
平鎮區的某社區道路，每逢下大雨就積水嚴重，大概積到腳踝高度，居民要涉水進出，已經這樣好幾年了。我們懷疑是旁邊的排水溝出口被堵住了，請市府來查。,水務局：已派員現勘，確認排水溝出口確有淤積堵塞，已安排本週完成清淤，並評估是否需擴大排水斷面。,"有關您反映平鎮區社區道路積水問題乙案，經交由本府水務局處理說明如下：

本局已派員前往現場勘查，確認該道路鄰近排水溝出口確有淤積堵塞情形，導致雨水排放不及，本週內將安排清淤作業；同時本局亦將進一步評估該排水路線之斷面容量，研議是否需要進行排水改善工程，以從根本解決積水問題。

造成居民長期困擾，深感抱歉，感謝您的通報。

謝謝您的指教　敬祝　安康
桃園市政府水務局　局長　劉振宇　敬上",,
我是蘆竹區居民，附近有一間違法經營的汽車修理廠，沒有招牌，廢機油直接排到旁邊的水溝，我看過好幾次了。請環保局來查，謝謝。,環境保護局：已鎖定陳情人描述地點，安排稽查人員攜帶蒐證設備本週前往查察，若確認非法排放廢油將移送裁處。,"有關您反映蘆竹區疑似非法汽車修理廠排放廢機油問題乙案，經交由本府環境保護局處理說明如下：

廢機油屬有害廢棄物，不得任意排放至水溝或環境中，否則違反廢棄物清理法及水污染防制法相關規定。本局已依您提供之地點資訊，安排稽查人員攜帶蒐證設備於本週前往現場查察，若確認有非法排放廢油情形，將依法裁處並移送檢察機關偵辦。

感謝您的通報，如發現再有排放情形，歡迎即時通報本局。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　局長　顏己喨　敬上",,
我是新屋區的農民，農業用水這幾個月供應不穩定，水量時大時小，影響我的灌溉作業，農作物已經有損失了。請問是什麼原因，什麼時候可以恢復正常？,水務局：已確認該區農業用水幹線閘門老化，正在施工更換，預計3週內完成，期間將儘量維持基本供水量。,"有關您反映新屋區農業用水供應不穩定問題乙案，經交由本府水務局處理說明如下：

本局已確認該區農業用水幹線閘門因老化導致供水不穩，目前已進行閘門更換施工，預計3週內完成，施工期間本局將儘量調配維持農業基本供水量，降低對灌溉作業之影響。

對於造成您農作物損失，深感抱歉，如後續仍有供水問題，請即時聯繫本局。

謝謝您的指教　敬祝　安康
桃園市政府水務局　局長　劉振宇　敬上",,
桃園區力行路的夜間清潔人員林先生，每天凌晨都很認真打掃，颱風天也不例外，工作非常盡責，想透過市政信箱給予表揚，謝謝。,環境保護局：已收悉表揚，轉達清潔隊確認人員身份，並列為服務表揚依據。,"有關您來函表揚桃園區力行路清潔人員乙案，經交由本府環境保護局處理說明如下：

感謝您撥冗來函，清潔人員每日默默維護市容整潔，颱風天仍堅守工作崗位，令人感佩。本局已將您的感謝轉達所屬清潔隊，並確認相關人員身份，列入服務表揚依據。

您的肯定是清潔同仁最大的鼓舞，本局將持續督促並鼓勵全體清潔人員提供優質服務。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　局長　顏己喨　敬上",,
