陳情內容,公務員輸入,擬答內容,,反面案例原因
我家住在桃園區中正路靠近民生路口，路口的紅綠燈壞掉快一個禮拜了，白天還好，晚上根本沒有號誌，幾乎每天都有車差點撞在一起，非常危險，請趕快修！,交通局：已確認該路口號誌控制器故障，零件已申購，預計3個工作天內完成更換，修復前將增派交通警察於尖峰時段協助指揮。,"有關您反映桃園區中正路近民生路口號誌燈故障乙案，經交由本府交通局緊急處置說明如下：

本局已確認該路口號誌控制器發生故障，目前已申購更換零件，預計3個工作天內完成修復；在修復完成前，本局已協請警察局於早、晚尖峰時段增派交通警察赴現場協助指揮疏導，以確保用路安全。

感謝您的即時通報，讓本局得以掌握號誌異常狀況。

謝謝您的指教　敬祝　安康
桃園市政府交通局　局長　張新福　敬上",,
我住龍潭區三坑里，最近溪邊出現大量泡沫，顏色有點白濁，味道也很奇怪，懷疑是上游有人在排放廢水。我有用手機拍照，請環保局來查。,環境保護局：已派員採樣送驗，同步調查上游排放源，若確認污染來源將依水污染防制法裁處，採樣結果約5個工作天出爐。,"有關您反映龍潭區三坑里溪流疑似遭廢水污染乙案，經交由本府環境保護局處理說明如下：

本局接獲通報後已立即派員赴現場採集水樣送請檢驗，並同步沿溪上游調查可能之排放來源，採樣結果預計5個工作天內出爐；若檢驗確認有違規排放情形，將依水污染防制法對行為人裁處，並要求立即停止排放及進行環境清理。

感謝您提供照片紀錄，對本局掌握污染情形有很大幫助，如後續有進一步發現，歡迎即時通報。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　局長　顏己喨　敬上",,
我帶小孩去大溪老街附近的河濱公園，發現公廁裡面馬桶沖水壞掉、洗手台出水很小、而且門鎖有兩間是壞的，跟旁邊的管理員說，他說不是他負責的。請市府處理。,工務局：已派員現勘確認，廁所設備損壞情況屬實，預計一週內完成馬桶、水龍頭及門鎖全面修繕。,"有關您反映大溪河濱公園公廁設備損壞問題乙案，經交由本府工務局處理說明如下：

本局已派員前往現場勘查，確認馬桶沖水裝置故障、洗手台出水量不足及廁所門鎖損壞等情況屬實，已列入緊急修繕排程，預計一週內完成馬桶、水龍頭及門鎖之全面修繕，以恢復公廁正常使用功能。

造成您帶小孩出遊的不便，深感抱歉，本局亦將加強對各公園設施的定期巡檢頻率。

謝謝您的指教　敬祝　安康
桃園市政府工務局　局長　汪在宙　敬上",,
我在蘆竹區南崁路開一間早餐店，隔壁建案工地從今年初就一直在施工，地基開挖時我店裡的牆壁出現裂縫，後來地板也開始不平，我去找建商，對方說跟他們無關，請市府協助。,都市發展局：已安排建管人員赴現場勘查，確認建設公司施工是否依核可圖說進行，並要求業者委請公正第三方進行鄰損鑑定。,"有關您反映蘆竹區南崁路工地施工造成鄰損問題乙案，經交由本府都市發展局處理說明如下：

本局已安排建管人員赴現場勘查，確認工地施工情形及是否依核可圖說作業，並已正式要求建設公司委請公正第三方單位對您的店面進行鄰損鑑定，鑑定結果將作為後續損害賠償之依據；若建商拒絕配合，本局將依建築法相關規定裁處。

建議您妥善保留店面裂縫等損壞之照片及相關紀錄，以利後續鑑定及求償程序，如有進一步需要協助，歡迎與本局聯繫。

謝謝您的指教　敬祝　安康
桃園市政府都市發展局　局長　江南志　敬上",,
我是桃園區某里的里長，里內有一棟已閒置超過10年的老舊建築，外牆嚴重剝落，屋頂也有破洞，每次颱風後磚塊都會掉到巷子裡，居民反映多次了，請市府協助處理。,都市發展局：已確認該建築列管為危險建築，發函通知所有人限期申報修繕，並於現場設置警示圍籬，若逾期未改善將強制代為修繕並向所有人追償費用。,"有關您反映桃園區閒置老舊建築危及公共安全乙案，經交由本府都市發展局處理說明如下：

本局已確認該建築列管狀況，已依法正式發函通知建築所有人限期申報修繕，並協調於現場設置警示圍籬，禁止民眾靠近危險範圍；若所有人屆期未提出修繕計畫，本局將依建築法規定強制代為修繕，所生費用向所有人追償。

感謝您長期關注里內公共安全，本局將持續追蹤本案進度。

謝謝您的指教　敬祝　安康
桃園市政府都市發展局　局長　江南志　敬上",,
我帶媽媽去桃園市立醫院附近的無障礙停車格停車，發現停車格旁邊的輪椅引導標線已經完全看不清楚，地面的藍白標誌也破損，讓我媽媽很難辨識，請市府重新整修。,交通局：已確認該處無障礙停車格標線磨損，已列入本季道路標線維護計畫，預計2週內完成重新劃設，並更換破損標誌。,"有關您反映桃園市立醫院周邊無障礙停車格標線及標誌損壞問題乙案，經交由本府交通局處理說明如下：

本局已派員確認，該處無障礙停車格地面標線確有嚴重磨耗，引導標誌亦有破損情形，已列入本季道路標線維護作業計畫，預計2週內完成標線重新劃設及標誌更換，以確保身心障礙者能清楚辨識使用。

感謝您的反映，讓本局得以掌握無障礙設施損壞情形，如還有其他無障礙設施問題，歡迎繼續通報。

謝謝您的指教　敬祝　安康
桃園市政府交通局　局長　張新福　敬上",,
我在中壢區做資源回收，最近市府的回收站把保麗龍從可回收清單裡移除了，但沒有任何公告，我跑了好幾個站才發現，建議市府要更清楚告知民眾政策變更。,環境保護局：保麗龍回收政策調整因廠商處理量能縮減，已著手於各回收站張貼公告並更新線上資訊，感謝市民建議。,"有關您反映保麗龍回收政策異動未充分告知民眾問題乙案，經交由本府環境保護局說明如下：

本市保麗龍資源回收政策近期因處理廠商量能調整而暫停收受，本局坦承在政策調整初期告知措施確有不足，已著手於各資源回收站張貼公告說明，並同步更新市府官網及相關宣傳管道資訊，避免民眾重複跑站的困擾。

感謝您的寶貴建議，讓本局正視政策溝通的重要性，後續政策異動將確保事前完整公告。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　局長　顏己喨　敬上",,
我家小孩就讀八德區某幼兒園，最近老師跟我說班上有一個孩子確診腸病毒，但學校沒有主動通知其他家長，我是從別的媽媽那邊聽說的，請衛生局督導。,衛生局：幼兒園發生腸病毒個案應依規定通報並告知家長，已函請該園說明未通知之原因，並要求依傳染病防治規定落實家長告知及環境消毒作業。,"有關您反映八德區幼兒園腸病毒案例未通知家長問題乙案，經交由本府衛生局處理說明如下：

依傳染病防治相關規定，托育機構發生腸病毒個案時應依規定通報主管機關，並主動告知其他幼兒家長，以便家長加強觀察子女健康狀況。本局已函請該幼兒園說明未告知家長之原因，並要求立即落實家長通知、環境清潔消毒及加強通風等防疫措施；若查有未依規定通報之情事，將依法裁處。

如您的孩子出現發燒、手足口症狀，建議及早就醫並在家休息，感謝您的通報。

謝謝您的指教　敬祝　安康
桃園市政府衛生局　局長　賈蔚　敬上",,
我去年底在桃園市某區就業服務站參加就業諮詢，承辦員非常耐心，幫我分析職涯方向，還幫我修改履歷，後來我順利找到工作了。想透過市政信箱表揚這位承辦員，謝謝！,勞動局：已收悉表揚來函，將確認服務人員後轉達並列為服務表揚依據。,"有關您來函表揚就業服務站承辦員工乙案，經交由本府勞動局說明如下：

感謝您撥冗來函，您的肯定是本局同仁最大的鼓舞。本局已將您的感謝轉達所屬就業服務站，並確認服務人員身份後列入服務表揚依據。

恭喜您順利就業，希望新工作一切順心。本局旗下各就業服務站持續提供免費職涯諮詢及就業媒合服務，如日後有任何就業相關需求，歡迎隨時前往洽詢。

謝謝您的指教　敬祝　安康
桃園市政府勞動局　局長　李賢祥　敬上",,
觀音區某工廠旁邊的農田，最近灌溉後農作物葉片出現異常黃化，附近農民懷疑是工廠廢水污染了灌溉水源，請農業局或環保局來查看。,環境保護局：已派員採集灌溉水源及土壤樣本送驗，同步追查上游工廠排放情形，檢驗結果約7個工作天出爐，期間暫建議農民停止使用該水源灌溉。,"有關您反映觀音區農田疑似遭工廠廢水污染乙案，經交由本府環境保護局處理說明如下：

本局接獲通報後已立即派員赴現場採集灌溉水源及農地土壤樣本送請檢驗，並同步針對上游工廠進行排放水採樣及製程調查，檢驗結果預計7個工作天內出爐；在此期間，基於預防原則，建議附近農民暫停使用該水源灌溉，以保護農作物安全。

若檢驗結果確認污染成立，本局將依法裁處排放廠商，並協助農民向加害人求償，感謝您的通報。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　局長　顏己喨　敬上",,
